brand,n_clips,n_models,n_vehicles,spd_mean,spd_std,pct_lead,pct_steer,pct_brake
Rivian,2127,1,16,61.325,24.886,0.395,0.276,0.15
Acura,1892,2,2,42.559,23.376,0.542,0.689,0.656
Ford,1803,8,24,55.195,32.458,0.415,0.47,0.85
Hyundai,1737,32,54,55.872,30.585,0.509,0.334,0.713
Honda,1486,21,38,59.573,31.765,0.574,0.418,0.671
Toyota,1311,16,52,50.77,31.134,0.502,0.423,0.725
Chevrolet,1289,9,20,56.392,34.214,0.618,0.362,0.371
Volkswagen,1136,15,24,52.341,32.802,0.554,0.378,0.626
Kia,972,16,37,48.54,31.307,0.499,0.341,0.713
Tesla,745,5,23,56.785,31.327,0.459,0.557,0.421
Ram,268,2,6,77.565,32.922,0.44,0.705,0.896
Genesis,252,7,7,69.544,29.939,0.492,0.405,0.623
Subaru,166,10,12,47.005,28.872,0.596,0.386,0.639
Skoda,88,2,3,45.248,28.697,0.364,0.489,0.852
Porsche,76,1,2,59.372,25.956,0.316,0.776,0.566
Nissan,68,2,3,69.759,26.814,0.632,0.382,0.176
Volvo,67,2,2,82.425,32.536,0.254,0.687,0.343
Mazda,52,1,2,49.687,29.104,0.404,0.269,0.788
Jeep,43,3,5,69.982,29.804,0.605,0.512,0.535
Audi,41,2,2,61.809,22.378,0.341,0.537,0.268
Lexus,38,5,6,75.491,30.429,0.526,0.342,0.395
Byd,2,1,1,29.239,1.694,0.0,0.0,1.0
